The DICOM tags for the first dicom file in this scan.
Tag	Description	Value
(0020,0052)	Frame of Reference UID	1.3.12.2.1107.5.2.43.67050.2.20250305152809897.0.0.0
(0020,0105)	Number of Temporal Positions	1
(0020,1040)	Position Reference Indicator	
(0020,9221)	Dimension Organization Sequence	
(0020,9221)	Dimension Organization UID	1.3.12.2.1107.5.2.43.67050.2025030515372349902102287
(0020,9222)	Dimension Index Sequence	
(0020,9222)	Dimension Organization UID	1.3.12.2.1107.5.2.43.67050.2025030515372349902102287
(0020,9222)	Dimension Index Pointer	00209056
(0020,9222)	Functional Group Pointer	00209111
(0020,9222)	Dimension Index Sequence	
(0020,9222)	Dimension Organization UID	1.3.12.2.1107.5.2.43.67050.2025030515372349902102287
(0020,9222)	Dimension Index Pointer	00209057
(0020,9222)	Functional Group Pointer	00209111
(0020,9222)	Dimension Index Sequence	
(0020,9222)	Dimension Organization UID	1.3.12.2.1107.5.2.43.67050.2025030515372349902102287
(0020,9222)	Dimension Index Pointer	00209128
(0020,9222)	Functional Group Pointer	00209111
(0021,0012)	Private Creator Data Element	SIEMENS MR SDR 01
(0021,1201)	?	ACQUISITION
(0021,1202)	?	ACQUISITION
(0028,0002)	Samples per Pixel	1
(0028,0004)	Photometric Interpretation	MONOCHROME2
(0028,0008)	Number of Frames	176
(0028,0010)	Rows	256
(0028,0011)	Columns	256
(0028,0100)	Bits Allocated	16
(0028,0101)	Bits Stored	12
(0028,0102)	High Bit	11
(0028,0103)	Pixel Representation	0
(0028,0106)	Smallest Image Pixel Value	0
(0028,0107)	Largest Image Pixel Value	633
(0028,0301)	Burned In Annotation	NO
(0028,2110)	Lossy Image Compression	00
(0040,0244)	Performed Procedure Step Start Date	20250305
(0040,0245)	Performed Procedure Step Start Time	152347.800000
(0040,0250)	Performed Procedure Step End Date	20250305
(0040,0253)	Performed Procedure Step ID	US6cf7f38bc76e48
(0040,0254)	Performed Procedure Step Description	BNC DEMODAT2
(0040,2004)	Issue Date of Imaging Service Request	20250305
(2050,0020)	Presentation LUT Shape	IDENTITY
(5200,9229)	Shared Functional Groups Sequence	
(5200,9229)	Referenced Image Sequence	
(5200,9229)	MR Imaging Modifier Sequence	
(5200,9229)	MR Receive Coil Sequence	
(5200,9229)	MR Transmit Coil Sequence	
(5200,9229)	MR Spatial Saturation Sequence	
(5200,9229)	MR Timing and Related Parameters Sequence	
(5200,9229)	MR Modifier Sequence	
(5200,9229)	MR FOV/Geometry Sequence	
(5200,9229)	Frame Anatomy Sequence	
(5200,9229)	Private Creator Data Element	SIEMENS MR SDS 01
(5200,9229)	?	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
